Post.code;Totaal.2020;Koopwoning.2020;Huurwoning.2020;adressen/km2.2020
Code;x1;%;%;adressen/km2
6991;7675;60;40;1029
6994;1090;60;40;157
6996;1630;70;30;122
6997;455;80;20;78
6998;590;80;20;102
6999;1610;60;40;151
7001;4415;40;60;1814
7002;6730;30;70;1495
7003;2825;60;40;1385
7004;4535;70;30;468
7005;665;50;50;1061
7006;9990;70;30;1220
7007;8305;70;30;1064
7008;870;80;20;699
7009;7105;50;50;1328
7011;5575;70;30;762
7021;8690;70;30;561
7025;2255;80;20;66
7031;6990;70;20;496
7035;1520;80;20;149
7036;450;90;10;57
7037;2320;80;20;199
7038;2665;70;30;369
7039;1160;90;10;175
7041;8380;50;50;986
7044;460;90;10;537
7045;765;80;20;68
7046;85;80;20;10
7047;1065;70;30;170
7048;155;80;20;81
7051;5875;60;40;631
7054;1180;80;20;75
7055;1015;80;20;42
7061;4630;60;40;796
7064;5500;60;40;554
7065;955;80;20;37
7071;10525;60;40;1019
7075;1880;80;20;294
7076;825;80;20;299
7077;505;80;20;55
7078;1020;80;20;88
7081;4300;60;40;599
7083;250;80;20;34
7084;930;90;10;103
7091;7175;60;40;878
7095;1070;90;10;83
7101;12180;70;30;1585
7102;3700;70;30;999
7103;7650;70;30;1417
7104;1435;80;20;53
7105;410;70;30;30
7106;360;60;40;15
7107;715;80;20;39
7108;875;80;20;23
7109;655;80;20;44
7113;310;80;20;86
7115;300;70;30;33
7119;260;90;10;21
7121;7985;70;30;976
7122;7975;80;20;660
7123;1450;80;20;732
7126;1460;80;20;234
7131;9915;70;30;957
7132;2975;90;10;720
7134;1130;90;10;87
7135;1435;80;20;111
7136;1995;80;20;133
7137;1400;80;20;104
7141;9395;70;30;910
7142;490;80;20;20
7151;7720;60;40;1003
7152;3435;80;20;628
7156;2835;80;20;140
7157;1335;80;20;43
7161;9325;60;40;762
7165;1025;90;10;76
7201;5665;40;60;2264
7202;595;40;60;988
7203;5050;60;40;1130
7204;10030;40;60;2420
7205;2475;70;30;670
7206;6655;60;40;1397
7207;8870;80;20;1043
7211;4375;70;30;381
7213;4010;70;30;440
7214;2055;80;20;194
7215;410;80;10;47
7216;275;80;20;23
7217;1780;80;20;105
7218;1210;80;20;88
7221;2235;70;30;261
7223;1085;80;20;72
7224;80;90;-99997;13
7225;255;80;20;73
7226;125;70;30;64
7227;885;80;20;49
7231;5325;70;30;1260
7232;3270;70;30;1388
7233;320;80;20;38
7234;645;80;20;76
7241;8075;70;30;904
7242;5510;60;40;1299
7244;1760;80;20;96
7245;4275;80;20;170
7251;7210;70;30;491
7255;6580;70;30;483
7256;1410;70;30;184
7261;7680;70;30;520
7263;900;80;20;64
7271;7730;60;40;789
7273;705;80;20;58
7274;1325;90;10;84
7275;630;80;20;46
7311;10315;50;50;3130
7312;10860;50;50;1767
7313;2250;90;10;823
7314;6605;70;30;2111
7315;4945;70;30;1687
7316;6190;60;40;1757
7317;320;70;30;1052
7321;6025;80;20;2318
7322;9635;60;40;2068
7323;12510;50;50;1663
7324;1825;80;20;678
7325;13220;70;30;1515
7326;9890;60;40;1669
7327;5775;60;40;1435
7328;7315;60;40;1969
7329;2740;30;70;2095
7331;11500;50;50;2838
7332;685;60;40;2054
7333;6620;50;50;1772
7334;2100;90;10;1841
7335;6490;60;40;2207
7336;355;50;50;1558
7339;6215;80;20;759
7341;1040;80;20;58
7345;2190;80;20;184
7346;235;70;30;35
7348;105;80;20;17
7351;1385;60;40;122
7352;50;80;30;85
7361;4960;70;30;315
7364;1220;80;20;108
7371;3300;70;30;257
7381;1750;80;20;125
7382;1510;70;30;123
7383;2700;60;40;201
7384;2980;70;30;112
7391;11950;60;40;985
7392;1155;80;20;452
7395;760;70;30;84
7396;2485;60;40;110
7397;700;90;10;25
7399;660;90;10;51
7411;8235;30;70;2729
7412;11625;50;50;2345
7413;7120;50;50;3541
7414;5340;40;60;1736
7415;11155;30;70;2355
7416;3520;40;60;2366
7417;4885;30;70;1696
7418;590;80;20;827
7419;2320;80;20;1162
7421;5205;70;30;1070
7422;2445;60;40;1496
7423;6105;80;20;1596
7424;4565;80;20;1347
7425;8020;80;20;1250
7426;20;-99997;-99997;106
7427;90;60;40;375
7428;155;70;30;35
7429;1075;40;40;1441
7431;4745;70;30;571
7433;5940;70;30;668
7434;1480;80;20;67
7435;425;70;30;43
7437;5660;80;20;416
7439;305;90;10;824
7441;5050;80;20;1076
7442;10535;60;40;1162
7443;9210;70;20;838
7447;6335;70;30;383
7448;2120;80;20;116
7451;9380;70;30;449
7461;9580;60;40;1317
7462;13880;70;30;1503
7463;5340;90;10;982
7466;330;90;10;56
7467;425;90;10;48
7468;7220;70;20;521
7471;12120;60;40;964
7472;35;70;-99997;214
7475;7265;70;30;309
7478;2605;70;30;225
7481;10870;60;40;1045
7482;10430;80;20;1012
7483;2980;90;10;1095
7491;7435;70;30;756
7495;1865;70;30;54
7496;2080;70;30;197
7497;1580;70;30;96
7511;9640;20;80;4056
7512;6880;40;60;3573
7513;5085;40;60;3043
7514;5730;50;50;3396
7521;9250;40;60;1593
7522;7510;40;60;1400
7523;12215;40;60;2402
7524;3370;80;20;362
7525;365;80;20;124
7531;8415;60;40;2252
7532;5310;60;40;957
7533;4655;50;50;2488
7534;12555;70;30;1180
7535;3810;80;20;1958
7536;60;80;20;65
7541;3420;40;60;2286
7542;10415;70;30;1370
7543;7120;40;60;2541
7544;15900;30;70;2051
7545;14835;40;60;2538
7546;8695;70;30;1140
7547;595;60;40;632
7548;3820;80;20;289
7551;4105;50;50;2907
7552;11140;50;50;1562
7553;9830;50;50;2065
7554;1495;80;20;153
7555;9080;60;40;1605
7556;11675;50;50;2234
7557;10785;50;50;2457
7558;12295;70;30;1349
7559;10735;80;20;908
7561;2005;80;20;246
7562;190;50;50;36
7571;2755;20;70;2248
7572;5055;50;50;2005
7573;3685;70;30;1706
7574;3555;50;50;834
7575;415;70;30;675
7576;6110;70;30;1247
7577;10065;80;20;1246
7581;7970;60;40;1035
7582;5325;70;30;1025
7585;485;90;10;121
7586;4085;60;40;465
7587;3865;80;20;223
7588;955;80;20;40
7591;10130;70;30;722
7595;3020;70;30;246
7596;2330;80;20;138
7597;1675;80;20;62
7601;6995;40;60;2198
7602;5605;70;30;1287
7603;6140;50;50;1277
7604;6605;40;60;1295
7605;3050;40;60;2524
7606;6945;40;60;2014
7607;9165;40;60;2143
7608;11030;60;40;1469
7609;14080;80;20;1056
7610;40;-99997;-99997;99
7611;1525;80;20;235
7614;265;70;30;264
7615;1605;80;20;161
7621;5780;80;20;1240
7622;7825;50;50;1581
7623;7785;80;20;968
7625;1395;80;20;143
7626;530;90;10;145
7627;1925;80;20;119
7631;4460;80;20;590
7634;760;80;20;62
7635;995;80;20;49
7636;570;80;20;79
7637;330;70;30;157
7638;180;70;30;14
7641;8305;70;30;907
7642;7100;70;30;872
7645;1065;80;20;53
7651;5755;60;40;571
7661;970;80;20;102
7662;210;70;30;13
