"Postcodes (PC4)";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|April 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|September 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|November 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|December 2020"
"5252 Vlijmen";2;3;3;4;4;4;4;4;4;4;5;5
"5253 Nieuwkuijk";21;22;21;21;21;22;20;21;21;20;20;20
"5254 Haarsteeg";18;18;18;17;17;19;21;21;19;19;21;19
"5255 Herpt";4;4;4;4;4;4;4;4;5;5;5;6
"5256 Heusden";9;9;9;9;9;9;9;9;8;7;7;7
"5257 Hedikhuizen";2;2;2;2;2;2;2;2;2;2;2;3
"5258 Berlicum";34;35;36;38;40;43;44;44;47;50;50;51
"5261 Centrum/Voorburg/Taalstraat";28;31;32;32;33;36;38;41;43;48;47;48
"5262 Baarzen/Vijverhof/Schoonveld";42;43;45;45;44;46;46;49;49;48;50;51
"5263 Loyola/Villapark/Lunetten";50;51;51;50;51;53;54;54;57;63;67;69
"5264 Gement";0;0;0;0;0;0;0;0;0;0;0;0
"5266 Cromvoirt";6;6;6;6;7;7;7;7;7;8;9;10
"5268 Helvoirt";26;24;24;24;27;28;29;29;29;30;31;33
"5271 St Michielsgestel";46;49;49;50;49;49;52;51;51;53;55;58
"5272 Venkant/Beekkant/Beekvliet";1;2;2;2;2;2;2;2;2;2;2;2
"5275 Den Dungen";21;23;23;22;23;23;26;27;28;31;32;35
"5281 Centrum";33;33;34;34;33;35;37;37;37;36;35;36
"5282 Noord";15;16;16;16;17;18;18;20;22;24;25;26
"5283 Oost/Munsel/Selissen";18;18;17;17;21;21;23;25;27;28;32;34
"5291 Gemonde";6;7;7;9;10;10;11;11;11;11;11;11
"5292 Gemonde (ged)";4;4;3;3;3;3;3;4;4;4;5;5
"5293 St Michielsgestel/Gemonde";1;1;1;1;0;0;0;0;0;0;0;0
"5294 Gemonde (ged)";0;0;0;0;0;0;0;0;0;0;0;1
"5296 Esch";6;6;6;6;6;6;6;6;6;6;5;6
"5298 Liempde";18;19;20;21;24;24;24;25;25;25;26;26
"5301 Zaltbommel";39;45;43;47;49;50;51;55;61;65;69;73
"5302 Zaltbommel";16;16;16;15;16;16;16;16;17;17;18;16
"5305 Zuilichem";4;5;6;6;5;6;6;8;8;8;8;7
"5306 Brakel";14;14;14;14;14;15;18;16;17;19;20;21
"5307 Poederoijen";2;1;2;2;3;3;4;4;4;6;9;10
"5308 Aalst";5;5;5;5;5;5;5;6;8;7;7;7
"5311 Gameren";17;17;17;17;16;17;18;18;17;17;19;19
"5313 Nieuwaal";5;5;6;7;7;7;7;7;8;9;11;11
"5314 Bruchem";6;7;7;7;7;7;7;7;8;8;8;7
"5315 Kerkwijk";2;2;2;2;2;2;1;2;3;3;4;4
"5316 Beneden-Delwijnen";2;2;2;2;2;2;3;3;3;3;3;3
"5317 Nederhemert";8;10;10;10;10;9;9;11;11;11;11;11
"5318 Bern";1;1;1;1;1;1;1;1;1;1;1;1
"5321 Hedel";18;19;21;21;24;24;25;26;28;31;30;31
"5324 Ammerzoden";23;24;24;26;28;27;27;28;28;29;30;32
"5325 Well";7;8;8;8;8;8;7;8;8;10;9;10
"5327 Hurwenen";2;2;3;3;3;3;4;3;3;3;3;3
"5328 Rossum";11;11;11;11;11;11;10;11;11;12;13;14
"5331 Kerkdriel";26;28;29;31;29;30;32;31;31;34;35;36
"5333 Hoenzadriel";1;1;1;1;1;1;1;1;1;1;1;1
"5334 Velddriel";17;17;16;16;16;17;18;17;17;16;17;19
"5335 Alem";1;1;1;1;1;1;1;1;1;2;2;2
"5341 Centrum";19;19;20;20;19;19;19;21;21;21;21;21
"5342 Zuid";22;23;25;25;28;28;29;29;30;30;30;31
"5343 Ruwaard-Zuid";27;27;26;26;25;26;28;28;27;27;29;30
"5344 Ruwaard-Noord";14;14;13;13;15;16;16;17;17;17;17;17
"5345 Ussen";36;36;37;39;39;42;43;43;44;45;46;47
"5346 Krinkelhoek";17;18;18;20;20;19;19;22;23;22;23;23
"5347 Industrieterrein-N";21;21;21;21;21;20;20;20;20;22;20;20
"5348 Schadewijk";10;11;13;13;13;14;15;16;15;18;19;19
"5349 Industrieterrein-Z";23;23;25;23;22;23;24;23;24;25;27;28
"5351 Berghem";37;38;37;37;39;40;42;43;43;43;45;45
"5352 Deursen-Dennenburg";1;1;1;1;1;1;1;1;1;2;2;3
"5353 Dieden";3;3;3;3;3;3;3;3;3;3;3;3
"5354 Demen";1;1;1;1;1;1;1;1;1;2;1;1
"5355 Neerlangel";"";"";"";"";"";"";"";"";"";"";"";""
"5356 Neerloon";1;1;1;1;1;1;1;1;1;1;1;1
"5357 Overlangel";0;0;0;0;0;0;0;0;0;0;0;0
"5358 Huisseling";0;0;0;0;0;0;0;0;1;1;1;1
"5359 Keent";0;0;0;0;0;0;0;0;0;0;0;0
"5361 Grave";15;17;19;19;19;21;21;22;23;23;24;25
"5363 Velp";9;9;9;9;9;9;9;9;9;9;9;10
"5364 Escharen";5;5;6;7;7;7;7;7;7;7;7;7
"5366 Megen";6;6;6;6;6;7;7;7;7;7;9;8
"5367 Macharen";0;0;0;0;0;0;0;0;0;0;0;0
"5368 Haren";2;2;2;2;2;2;2;2;2;2;2;3
"5371 Ravenstein";19;20;20;20;20;20;21;21;19;21;22;21
"5373 Herpen";8;8;8;8;8;8;8;9;9;9;9;9
"5374 Schaijk";36;37;38;39;39;40;39;39;42;41;39;41
"5375 Reek";7;7;7;7;7;7;7;7;7;9;10;9
"5381 Vrsp hzn Vinkel";3;3;4;4;4;4;5;5;5;5;5;5
"5382 Vinkel";5;6;6;6;6;6;7;7;7;6;6;6
"5383 Vinkel";1;1;1;1;1;1;1;1;1;1;1;0
"5384 Heesch";61;63;66;65;67;70;72;74;73;75;76;83
"5386 Geffen";17;16;16;16;18;18;19;18;19;20;19;19
"5388 Nistelrode";21;22;25;24;25;26;26;26;26;26;26;27
"5391 Nuland";19;18;18;18;20;21;19;20;21;21;20;20
"5392 Nuland";2;3;3;3;3;4;4;5;5;5;5;6
"5394 Oijen";6;6;6;6;6;6;6;6;6;6;6;7
"5395 Teeffelen";5;5;5;5;5;5;5;6;6;6;6;6
"5396 Lithoijen";3;3;3;3;3;3;3;3;3;3;2;3
"5397 Lith";13;13;13;14;14;15;19;19;19;19;19;20
"5398 Maren/Kessel";11;11;11;11;11;12;12;12;12;12;13;15
"5401 Uden";17;17;19;18;19;18;18;18;19;20;21;20
"5402 Schutveld-Hoevenseveld-Bitswijk";20;20;21;21;22;22;24;25;25;26;26;26
"5403 Raam-Melle-Hoeven";32;34;35;36;37;38;37;35;37;39;41;43
"5404 Zoggel";18;18;18;19;21;21;23;24;24;25;25;27
"5405 Ind terr-Sportpark";96;95;92;89;89;84;78;74;73;70;66;49
"5406 Vrsp hzn Uden";55;56;57;57;56;59;59;59;61;61;62;63
"5408 Volkel";9;9;9;9;8;8;8;8;8;8;8;9
"5409 Odiliapeel";8;8;8;8;8;8;8;9;9;9;9;9
"5411 Zeeland";21;22;24;25;25;27;28;28;26;26;27;29
"5421 Gemert";34;33;33;34;34;35;36;36;37;38;43;44
"5422 Gemert";8;8;9;9;10;10;10;11;10;10;8;10
"5423 Handel";2;2;2;2;2;2;2;2;2;2;2;2
"5424 Elsendorp";4;4;4;4;4;4;4;4;4;5;4;5
"5425 Mortel";5;5;5;5;5;5;5;5;6;6;6;6
"5427 Boekel";32;35;35;35;34;37;36;37;36;37;38;39
"5428 Venhorst";6;6;6;7;7;7;8;8;8;8;8;8
"5431 Cuijck";29;31;32;32;32;35;38;41;41;40;43;43
"5432 Heeswijkse Kampen";17;17;19;19;20;21;22;22;22;24;26;28
"5433 Katwijk";10;10;10;10;10;9;9;9;9;11;11;11
"5434 Vianen";2;2;2;2;3;3;3;3;5;5;5;5
"5435 St Agatha";1;1;1;1;1;1;1;1;1;1;1;1
"5437 Beers";6;6;6;6;6;7;7;7;7;7;7;10
"5438 Gassel";5;6;6;6;6;6;6;7;8;8;9;9
"5439 Linden";1;1;1;1;2;2;2;2;2;2;2;3
"5441 Oeffelt";8;9;9;9;10;10;10;10;10;10;11;12
"5443 Haps";7;7;7;7;7;7;6;6;5;5;6;8
"5445 Landhorst";4;4;4;5;5;5;5;5;5;5;5;5
"5446 Wanroij";13;13;13;13;13;13;13;12;14;16;16;16
"5447 Rijkevoort";4;4;4;4;5;5;5;5;5;5;5;5
"5449 Rykevoort Walsert";"";"";"";0;0;0;0;0;0;0;0;0
"5451 Mill";18;18;18;19;18;18;18;18;19;19;22;22
"5453 Langenboom";6;6;6;6;6;7;7;7;7;6;7;8
"5454 St Hubert";4;4;4;4;4;4;4;4;4;5;5;5
"5455 Wilbertoord";2;2;2;2;2;2;2;2;2;2;2;2
"5461 Oosten Aa/Het Ven";8;8;8;8;10;12;12;11;12;13;13;13
"5462 Westen Aa";16;16;17;17;16;18;18;18;19;19;19;17
"5463 Leest/Zuid/Beukelaar/Ham";36;34;28;27;27;31;31;32;38;39;38;37
"5464 Mariaheide";17;17;19;19;19;19;20;22;25;26;26;28
"5465 Zijtaart";10;10;10;11;11;11;12;12;12;13;13;13
"5466 Eerde/De Dubbelen";26;25;24;23;24;24;25;26;26;25;28;26
"5467 De Bunders";15;15;14;14;15;15;15;16;17;20;22;21
"5469 Erp";30;31;32;31;30;30;31;31;32;34;37;37
"5471 Loosbroek";0;0;0;0;0;0;0;0;0;0;0;0
"5472 Loosbroek";11;11;11;11;11;11;11;12;12;12;11;11
"5473 Heeswijk-Dinther";38;37;37;38;39;39;39;40;42;47;49;53
"5476 Vorstenbosch";7;7;6;6;6;6;6;6;6;6;7;7
"5481 West";39;38;41;40;42;45;44;47;47;46;48;48
"5482 Centrum/Oost";72;72;74;74;76;75;74;76;75;76;79;81
"5491 Olland/St-Oedenrode/Nijnsel";89;89;86;87;87;85;79;76;74;69;66;66
"5492 Centrum/Boskant";20;20;20;20;21;23;24;25;26;29;32;33
"5501 Cobbeek/ Centrum";8;8;8;8;9;9;10;10;10;10;9;9
"5502 Zeelst";31;31;30;30;30;30;30;31;30;32;33;34
"5503 Meerveldhoven/d'Ekker";22;22;22;21;22;23;23;23;24;26;26;27
"5504 Veldhoven";38;38;39;39;39;38;36;37;37;38;39;35
"5505 Zonderwijk";12;12;12;12;15;15;19;19;19;19;19;19
"5506 't Look";12;11;12;13;13;13;13;13;13;13;13;14
"5507 Oerle";16;16;16;16;17;18;18;18;18;20;20;21
"5508 Nrd Woongebied";29;30;35;35;36;36;37;39;41;44;44;44
"5509 De Polders";10;13;14;15;16;19;19;20;21;21;20;20
"5511 Knegsel";8;9;10;11;11;11;11;11;13;13;13;13
"5512 Vessem";11;11;10;10;10;10;10;13;13;13;15;17
"5513 Wintelre";4;4;4;4;4;4;4;4;4;4;4;5
"5521 Eersel";45;46;46;49;51;52;55;55;55;58;60;60
"5524 Steensel";8;8;8;8;8;8;8;8;7;7;7;7
"5525 Duizel";5;5;6;8;8;9;9;9;9;10;10;11
"5527 Hapert";22;23;23;25;24;24;24;25;28;28;28;29
"5528 Hoogeloon";11;11;11;11;13;13;13;13;14;14;15;15
"5529 Casteren";6;6;6;6;6;6;6;6;6;6;6;6
"5531 Bladel";47;46;45;46;47;47;50;50;50;55;55;54
"5534 Netersel";2;2;2;2;2;2;2;2;2;2;2;2
"5541 Reusel";21;22;21;23;25;25;27;27;29;30;31;33
"5551 Kloosterakkers/Dommelen";28;30;32;32;32;33;34;35;37;37;38;39
"5552 Geenhoven/Het Gegraaf";16;17;18;18;19;17;18;18;19;19;20;21
"5553 Turfberg-N";7;7;8;9;9;9;9;10;10;10;10;11
"5554 Centrum/Akkers";60;60;61;64;65;69;71;71;71;69;70;65
"5555 Turfberg-Z/Schaapsloop";34;35;35;34;35;33;33;32;31;31;31;30
"5556 Borkel en Schaft";15;15;15;16;16;16;15;16;16;18;18;19
"5561 Riethoven";12;12;12;13;13;14;15;15;15;15;16;17
"5563 Westerhoven";10;10;10;10;10;12;12;12;12;12;12;12
"5571 Bergeijk";49;49;49;49;51;50;51;51;50;50;49;51
"5575 Luyksgestel";11;12;12;13;14;15;16;18;19;19;19;19
"5581 Waalre";37;38;39;41;41;44;43;45;46;45;47;49
"5582 Aalst/Voldijn";23;25;27;29;30;33;38;38;39;45;44;45
"5583 Ekenrooi";22;22;22;22;22;21;24;25;25;27;28;27
"5591 Heeze";28;28;29;30;32;32;34;32;31;33;33;35
"5595 Leende";20;20;21;21;21;21;23;23;23;26;28;27
"5611 Centrum";91;86;85;86;87;85;89;90;91;91;92;93
"5612 Woensel binnen rondweg";12;13;15;15;14;16;17;17;18;21;21;23
"5613 Tongelre binnen rondweg";33;34;36;35;36;35;38;38;39;39;39;40
"5614 Stratum binnen rondweg";11;11;10;10;10;11;11;12;12;11;10;10
"5615 Rapelenburg/Bloemenbrt/Looiakkers";37;36;35;36;36;37;39;39;38;37;38;41
"5616 Strijp binnen rondweg";21;21;23;24;25;26;27;28;29;28;29;30
"5617 Philips complex S";10;11;10;10;10;10;12;12;13;13;13;13
"5621 't Groenewoud";5;5;5;5;5;5;5;5;5;6;6;6
"5622 Woensel buiten rondweg";14;14;16;16;16;17;16;16;17;21;22;22
"5623 Oude toren/rapenland";13;13;14;14;16;16;18;20;22;25;28;27
"5624 Prinsejagt/Driehoeksbos";9;10;11;11;12;12;12;12;13;15;15;16
"5625 Jagershoef/'t Hool/Vlokhoven";10;11;11;11;11;12;13;13;14;19;20;22
"5626 Vredeoord/Acht";40;39;40;40;42;41;41;41;40;40;41;44
"5627 Achtse Barrier";28;31;33;34;36;37;37;37;38;41;44;46
"5628 Woenselse Heide/Tempel";151;150;144;143;141;139;135;134;126;128;113;96
"5629 Blixem-/Sprookjesbosch";49;50;50;50;53;54;57;60;60;63;65;73
"5631 Karpen/Hondsheuvels/Oude Gracht/Koudenhove";23;24;24;24;27;28;29;30;30;35;35;37
"5632 Eckart/Luytelaer/Vaartbroek/Heesterakker";24;24;25;25;26;28;28;29;32;32;35;34
"5633 Esp/Bokt";9;9;8;8;8;8;8;7;7;7;6;6
"5641 Tongelre buiten rondweg";10;12;12;13;14;15;15;17;18;17;18;19
"5642 Poeijersstraat/Doornakkers";11;12;12;12;14;14;15;17;19;21;21;22
"5643 Stratum buiten rondweg I";9;9;9;9;10;10;11;12;12;12;15;16
"5644 Stratum buiten rondweg II";45;45;46;48;48;49;52;55;58;61;61;61
"5645 Geldropseweg/Tivoli";16;17;17;18;20;20;22;22;22;23;24;25
"5646 Gijzenrooi/Schuttersbos";8;8;8;9;9;9;10;11;12;12;13;14
"5647 Gijzenrooi";1;1;1;1;1;1;1;1;1;1;1;1
"5651 Strijp buiten rondweg II";22;22;22;22;23;24;23;23;27;27;25;25
"5652 Strijp buiten rondweg I";30;30;33;32;31;33;34;34;35;35;35;35
"5653 Genderbeemd/-dal";12;13;13;13;13;14;15;15;15;15;17;18
"5654 Gestel buiten rondweg I";6;9;9;9;9;9;10;11;11;11;11;12
"5655 Hanevoeg/Ooievaarsnest";17;17;17;17;17;18;18;18;18;18;18;18
"5656 De Beemden";2;2;3;3;3;4;4;4;4;3;3;3
"5657 Welschap/Meerhoven";15;15;16;15;14;14;14;14;15;14;14;15
"5658 Eindhoven";50;52;53;53;56;59;64;65;69;73;73;78
"5661 Gijzenrooi";14;14;14;14;14;14;15;15;14;14;14;14
"5662 Skandia";11;10;10;12;12;12;13;13;13;13;15;15
"5663 Zesgehuchten/Genoenhuis";21;21;22;25;26;28;29;30;30;30;33;33
"5664 Centrum/Akert";14;13;14;14;14;14;18;19;19;21;21;23
"5665 Coevering/Braakhuizense Heide";6;6;6;6;6;9;9;9;10;10;10;10
"5666 Braakhuizen-Z";13;14;14;15;15;15;16;16;17;18;18;18
"5667 Braakhuizen-N";16;16;17;17;17;18;18;20;20;18;20;20
"5671 Nuenen-N";26;27;28;30;31;31;33;34;35;34;36;38
"5672 Nuenen-Z";13;13;14;14;14;14;14;14;14;15;17;19
"5673 Oost";42;43;43;43;43;41;42;45;45;47;47;47
"5674 Gerwen/Nederwetten/Eeneind";35;35;37;38;38;38;36;35;38;38;41;41
"5681 Vleut";3;3;3;3;3;3;3;3;4;4;5;6
"5682 De Pailjaart";10;10;10;10;10;11;12;13;13;15;16;17
"5683 Best";37;37;37;38;40;41;46;44;45;46;45;43
"5684 Best/Wilhelminadorp/Batadorp";48;49;49;50;49;50;51;53;55;54;56;56
"5685 Best Heikant";34;35;35;35;36;39;40;37;38;40;42;43
"5688 Oirschot";55;59;60;61;63;65;66;68;68;65;69;71
"5689 Oirschot";2;2;2;2;2;2;2;2;2;2;2;2
"5691 Son";60;62;64;66;68;69;70;71;75;77;79;81
"5692 Ind terr Ekkersrijt";27;29;28;31;32;33;36;37;38;42;39;37
"5694 Breugel";15;15;15;15;15;16;16;19;20;19;19;18
"5701 Binnenstad";12;11;11;12;15;15;14;15;15;15;17;17
"5702 Noord";3;3;4;4;6;7;8;8;9;10;10;11
"5703 Oost/Rijpelberg/Dierdonk";4;4;4;4;4;4;4;5;5;5;5;5
"5704 Brouwhuis";33;33;33;34;35;34;35;34;33;29;32;32
"5705 Hoogeind/Stationsgebied";54;54;57;56;56;54;57;58;62;59;59;60
"5706 Mierlo-Hout";47;48;49;49;53;55;59;63;67;68;70;72
"5707 West/Noordwest";52;52;53;54;56;56;57;60;63;71;71;73
"5708 Stiphout";63;63;65;67;66;68;76;82;86;90;92;98
"5709 Rijpelberg";30;31;31;32;32;34;35;35;35;40;40;45
"5711 Someren/Slieven";31;32;33;33;35;35;34;35;35;34;37;38
"5712 Eind/Heide/Hoeven";28;28;28;30;30;33;35;36;37;39;39;38
"5715 Lierop";11;11;11;11;12;12;13;13;12;12;13;13
"5721 Asten";47;47;48;49;49;50;53;54;56;58;60;61
"5724 Ommel";3;3;3;3;3;3;3;3;3;3;3;3
"5725 Heusden";8;8;8;9;9;9;9;11;11;11;11;12
"5731 Mierlo";52;55;56;55;56;58;59;57;59;63;62;65
"5735 Aarle-Rixtel";14;16;15;15;15;15;15;16;16;17;19;21
"5737 Lieshout";14;15;15;15;15;15;15;16;16;19;19;19
"5738 Mariahout";12;13;13;15;15;15;14;16;15;16;15;17
"5741 Beek en Donk";31;31;35;35;38;37;38;39;39;42;43;47
"5751 Deurne";29;29;29;31;31;35;36;37;39;40;41;45
"5752 Walsberg";6;6;6;6;6;6;6;6;6;6;6;7
"5753 St Jozefparochie";24;24;23;23;23;24;23;24;24;24;24;22
"5754 Heiakker";17;17;17;17;18;18;18;20;20;20;20;20
"5756 Vlierden";7;7;7;7;7;7;7;7;8;8;8;8
"5757 Liessel";12;12;12;12;12;12;11;11;12;13;15;15
"5758 Neerkant";4;4;4;4;4;4;4;4;6;7;7;7
"5759 Helenaveen";2;2;2;2;2;2;2;2;2;2;2;2
"5761 Bakel";13;14;16;16;17;19;20;23;24;25;26;27
"5763 Milheeze";7;7;7;7;8;8;8;9;8;8;8;8
"5764 Rips";6;5;5;5;5;5;5;5;5;5;4;4
"5766 Griendtsveen";1;1;1;1;1;1;1;1;1;1;1;1
"5768 Meijel";11;11;11;11;11;11;11;11;12;12;13;13
"5801 Centrum/West/Vlakwater/Veltum";20;23;23;23;23;22;23;24;25;26;28;29
"5802 Oost/Brukske";16;16;18;18;19;19;19;19;20;20;21;21
"5803 Landweert/St.Antoniusveld";12;12;13;13;13;13;12;12;14;14;14;15
"5804 Smakterheide/Brabander";10;11;12;13;13;13;12;13;13;13;13;13
"5807 Oostrum";9;9;10;10;9;8;8;8;9;10;10;10
"5808 Oirlo";6;8;8;8;7;7;7;7;7;7;7;7
"5809 Leunen";2;4;4;5;5;6;6;6;6;7;8;8
"5811 Castenray";4;4;4;4;4;4;4;4;4;3;3;3
"5812 Heide";1;1;1;1;1;1;1;1;1;1;1;1
"5813 Ysselsteyn";12;12;11;11;11;11;12;11;11;11;10;11
"5814 Veulen";0;0;0;0;0;0;0;0;0;0;0;0
"5815 Merselo";1;1;1;1;1;1;2;2;2;2;2;2
"5816 Vredepeel";0;0;0;1;1;1;1;1;1;1;1;2
"5817 Smakt";2;2;2;2;2;2;2;2;2;2;2;2
"5821 Vierlingsbeek";8;8;8;7;7;8;8;8;8;9;9;10
"5823 Maashees";3;3;3;3;3;3;3;3;3;3;3;3
"5824 Holthees";4;4;4;4;4;4;5;5;5;5;5;3
"5825 Overloon";9;10;10;11;11;13;13;13;14;14;15;16
"5826 Groeningen";2;2;2;2;2;2;2;2;2;2;2;2
"5827 Vortum-Mullem";3;4;4;3;3;3;3;3;4;4;4;4
"5831 Boxmeer";34;36;36;38;39;40;42;45;46;45;48;51
"5835 Beugen";11;11;11;11;10;10;11;11;11;12;12;11
"5836 Sambeek";5;4;5;5;5;5;6;6;6;7;7;7
"5841 Oploo";1;1;1;1;1;1;1;1;1;1;1;2
"5843 Westerbeek";2;3;3;3;3;3;3;3;3;3;3;3
"5844 Stevensbeek";7;7;7;7;6;6;6;5;5;5;5;6
"5845 St Anthonis";10;11;11;12;13;15;15;15;16;15;16;15
"5846 Ledeacker";2;2;2;2;2;2;3;3;3;3;3;4
"5851 Afferden";4;5;5;4;4;4;4;4;4;5;4;5
"5853 Siebengewald";1;1;1;1;1;1;2;2;2;2;2;2
"5854 Bergen";5;7;8;8;9;10;14;17;19;21;22;22
"5855 Well";3;3;3;3;3;4;4;4;3;3;4;4
"5856 Wellerlooi";3;3;4;4;4;4;4;4;4;5;5;6
"5861 Wanssum";5;5;5;5;5;6;6;5;5;5;6;6
"5862 Geysteren";2;2;2;2;2;2;2;2;2;2;2;2
"5863 Blitterswijck";6;7;7;7;7;7;7;7;8;7;6;7
"5864 Meerlo";3;3;3;3;3;3;3;3;3;3;4;5
"5865 Tienraij";3;3;4;4;5;5;5;5;5;4;4;4
"5866 Swolgen";3;3;4;4;4;4;4;4;4;4;3;3
"5871 Broekhuizenvorst";0;0;1;1;1;1;2;3;3;3;3;2
"5872 Broekhuizen";4;4;4;4;4;4;4;4;4;4;4;4
"5911 Centrum";12;12;12;12;13;13;14;14;14;17;18;18
"5912 Jammerdaal/Sinselveld";11;11;11;11;11;13;12;13;13;14;15;15
"5913 Hogekamp/Stalberg";24;26;27;28;29;31;31;32;32;33;33;35
"5914 Genooi/Meeuwbeemd";11;11;11;11;12;13;13;14;14;14;16;17
"5915 Leutherberg/Vogelhut/G&K Heide";25;24;25;26;26;26;26;27;27;29;31;32
"5916 Veegtes/Het Ven/Herongerberg/Venkoelen";14;14;14;14;14;14;14;15;15;16;17;18
"5921 Centrum/Hazenkamp";9;9;9;9;9;11;13;13;13;13;13;11
"5922 Vastenavondkamp/Smelienkamp";6;6;6;6;6;6;7;7;8;8;8;8
"5923 St Annakamp";2;2;2;2;2;2;2;2;2;2;2;2
"5924 Vossener";3;3;3;5;5;6;6;6;6;6;6;6
"5925 Klingerberg";2;2;2;2;3;4;4;4;5;5;5;5
"5926 Hout-Blerick/Meuleveld";11;12;12;13;13;13;12;12;12;12;12;12
"5927 Boekend";2;2;2;2;2;2;2;2;3;4;4;4
"5928 Ubroek";25;26;25;24;23;26;27;29;30;30;32;31
"5931 Centrum/Bosserhof";14;15;15;14;15;15;17;18;18;18;21;21
"5932 Haandert/Op de Heide";10;10;9;9;9;9;9;10;10;10;9;10
"5935 Steyl";11;12;12;13;13;13;14;15;15;15;17;18
"5941 Velden";15;15;15;17;17;17;18;18;21;22;22;23
"5943 Lomm";3;3;3;3;3;3;3;3;3;3;3;3
"5944 Arcen";14;14;14;14;14;14;11;12;16;16;17;19
"5951 Belfeld";18;18;18;18;18;18;20;20;18;20;21;21
"5953 Reuver";16;15;18;19;21;24;24;26;26;26;25;28
"5954 Beesel";16;16;16;16;15;15;16;17;19;19;19;19
"5961 Horst";44;45;47;47;48;48;48;50;51;52;52;54
"5962 Melderslo";5;5;5;5;5;5;6;6;6;6;7;7
"5963 Hegelsom";9;9;9;9;9;10;10;10;11;12;13;14
"5964 Meterik";6;6;6;6;6;6;6;6;7;6;6;5
"5966 America";3;3;3;3;5;5;5;6;5;5;5;6
"5971 Grubbenvorst";28;28;28;29;29;30;30;30;31;30;28;27
"5973 Lottum";4;4;4;4;5;6;6;6;7;8;8;9
"5975 Sevenum";22;23;22;22;22;22;23;25;24;24;26;25
"5976 Kronenberg";8;8;8;8;8;9;8;8;8;9;9;9
"5977 Evertsoord";3;3;3;3;3;3;3;3;3;3;3;3
"5981 Panningen";17;17;20;21;23;23;23;23;23;25;26;25
"5984 Koningslust";4;4;4;4;3;3;3;3;4;4;4;4
"5985 Grashoek";5;5;5;5;5;5;6;6;6;6;6;6
"5986 Beringe";5;5;5;5;5;5;5;5;5;4;4;4
"5987 Egchel";2;2;2;2;3;3;3;3;3;3;3;3
"5988 Helden";22;22;23;22;22;21;23;23;24;24;23;23
"5991 Baarlo";14;13;13;13;14;14;16;16;16;17;18;20
"5993 Maasbree";16;17;18;18;18;19;19;21;21;22;23;21
"5995 Kessel";11;8;8;8;8;9;13;13;14;14;15;16
"6001 Weert";22;23;23;22;23;23;25;26;27;26;25;26
"6002 Noord";13;14;14;16;17;18;20;21;20;20;20;21
"6003 Laar/Hushoven/Biest-N";32;33;34;33;33;32;31;34;36;37;35;38
"6004 Groenewoud/Leuken";15;13;14;14;14;13;13;13;15;16;20;19
"6005 Zuid";19;20;19;19;20;20;23;25;29;28;28;29
"6006 Randgebieden-Z/-O";26;27;27;29;28;29;32;34;34;34;35;35
"6011 Ell";4;4;4;4;4;5;5;5;5;6;6;6
"6012 Haler";1;1;1;1;1;1;1;1;1;1;1;1
"6013 Hunsel";3;3;3;3;3;3;3;3;3;3;3;3
"6014 Ittervoort";3;3;3;3;3;3;3;3;4;4;7;16
"6015 Neeritter";3;3;3;3;3;3;3;3;3;3;4;4
"6017 Thorn";7;8;9;9;9;9;10;10;11;12;11;11
"6019 Wessem";7;7;7;7;8;8;8;8;8;8;9;9
"6021 Budel";26;26;26;26;28;28;28;30;32;32;34;36
"6023 Schoot";3;4;4;4;5;3;5;6;7;7;7;7
"6024 Dorplein";3;3;3;4;4;4;4;4;4;4;4;4
"6026 Maarheze";19;20;22;22;23;23;23;23;22;25;25;23
"6027 Soerendonk";5;5;5;5;5;5;5;5;6;6;6;6
"6028 Gastel";1;1;1;1;1;1;1;1;1;1;1;1
"6029 Sterksel";3;3;3;4;4;4;5;7;7;7;9;9
"6031 Nederweert";41;41;44;44;44;45;43;44;43;41;41;42
"6034 Nederweert-Eind";8;8;8;8;8;8;7;7;7;7;7;8
"6035 Ospel";17;17;17;18;19;20;19;20;22;22;22;23
"6037 Kelpen-Oler";8;8;8;8;8;7;6;7;7;7;7;7
"6039 Stramproy";23;25;25;25;25;25;25;25;26;26;26;28
"6041 Centrum";54;57;57;57;60;60;61;59;63;65;64;69
"6042 Maasniel/Assenray";30;31;34;35;38;38;38;39;39;42;42;42
