postal_code,month_year,value_EV,value_CP,monthly_price,value_cars
5809,2020-01-01,10,1,1.6971290322580646,1211
5809,2020-02-01,12,1,1.664,1211
5809,2020-03-01,13,1,1.566516129032258,1211
5809,2020-04-01,14,1,1.4683,1211
5809,2020-05-01,14,1,1.4820967741935485,1211
5809,2020-10-01,20,1,1.5578709677419356,1211
5809,2020-11-01,21,1,1.5245666666666666,1211
5809,2020-12-01,21,2,1.5534193548387096,1211
5811,2020-10-01,9,1,1.5578709677419356,474
5811,2020-11-01,9,1,1.5245666666666666,474
5811,2020-12-01,9,2,1.5534193548387096,474
5811,2020-04-01,8,1,1.4683,474
5811,2020-01-01,8,1,1.6971290322580646,474
5811,2020-02-01,8,1,1.664,474
5811,2020-03-01,8,1,1.566516129032258,474
5811,2020-08-01,10,1,1.564258064516129,474
5811,2020-05-01,9,1,1.4820967741935485,474
5811,2020-06-01,9,1,1.5385666666666666,474
5811,2020-07-01,10,1,1.560741935483871,474
5811,2020-09-01,9,1,1.5640666666666667,474
5812,2020-01-01,6,0,1.6971290322580646,314
5812,2020-02-01,6,0,1.664,314
5812,2020-03-01,6,0,1.566516129032258,314
5812,2020-04-01,6,0,1.4683,314
5812,2020-08-01,6,0,1.564258064516129,314
5812,2020-05-01,6,0,1.4820967741935485,314
5812,2020-06-01,6,0,1.5385666666666666,314
5812,2020-07-01,6,0,1.560741935483871,314
5812,2020-12-01,7,1,1.5534193548387096,314
5812,2020-09-01,6,0,1.5640666666666667,314
5812,2020-10-01,6,0,1.5578709677419356,314
5812,2020-11-01,6,0,1.5245666666666666,314
5813,2020-06-01,36,2,1.5385666666666666,1359
5813,2020-07-01,39,2,1.560741935483871,1359
5813,2020-08-01,39,2,1.564258064516129,1359
5813,2020-09-01,41,2,1.5640666666666667,1359
5813,2020-01-01,32,2,1.6971290322580646,1359
5813,2020-02-01,34,2,1.664,1359
5813,2020-03-01,34,2,1.566516129032258,1359
5813,2020-04-01,34,2,1.4683,1359
