"","postal_code","month_year","value_EV","value_CP","monthly_price","value_cars","Total","Supermarket","Convenience.stores","Cafe","Cafeteria","Hotel","Restaurant","Railway.station","Amusement.park","Cinema","Museums","Art.exhibitions","Library","Swimming.pool","General.practioner","Hospital.including.clinic"
"149",5815,2020-08-01,9,0,1.56425806451613,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"150",5815,2020-05-01,5,0,1.48209677419355,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"151",5815,2020-06-01,5,0,1.53856666666667,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"152",5815,2020-07-01,7,0,1.56074193548387,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"153",5815,2020-12-01,9,1,1.55341935483871,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"154",5815,2020-09-01,9,0,1.56406666666667,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"155",5815,2020-10-01,9,0,1.55787096774194,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"156",5815,2020-11-01,9,0,1.52456666666667,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"157",5816,2020-05-01,2,0,1.48209677419355,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158",5816,2020-08-01,2,0,1.56425806451613,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159",5816,2020-09-01,3,0,1.56406666666667,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160",5816,2020-06-01,2,0,1.53856666666667,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161",5816,2020-07-01,2,0,1.56074193548387,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162",5816,2020-01-01,1,0,1.69712903225806,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163",5816,2020-02-01,1,0,1.664,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"164",5816,2020-03-01,1,0,1.56651612903226,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165",5816,2020-04-01,2,0,1.4683,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166",5816,2020-10-01,3,0,1.55787096774194,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167",5816,2020-11-01,3,0,1.52456666666667,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"168",5816,2020-12-01,4,1,1.55341935483871,133,235,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169",5817,2020-11-01,3,0,1.52456666666667,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"170",5817,2020-12-01,3,1,1.55341935483871,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"171",5817,2020-03-01,3,0,1.56651612903226,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"172",5817,2020-10-01,3,0,1.55787096774194,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"173",5817,2020-01-01,3,0,1.69712903225806,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"174",5817,2020-02-01,3,0,1.664,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"175",5817,2020-07-01,3,0,1.56074193548387,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"176",5817,2020-04-01,3,0,1.4683,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"177",5817,2020-05-01,3,0,1.48209677419355,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"178",5817,2020-06-01,3,0,1.53856666666667,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"179",5817,2020-08-01,3,0,1.56425806451613,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"180",5817,2020-09-01,3,0,1.56406666666667,130,215,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"181",5851,2020-01-01,14,4,1.69712903225806,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"182",5851,2020-02-01,15,5,1.664,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"183",5851,2020-03-01,16,4,1.56651612903226,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"184",5851,2020-04-01,14,5,1.4683,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"185",5851,2020-05-01,14,5,1.48209677419355,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"186",5851,2020-06-01,14,4,1.53856666666667,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"187",5851,2020-07-01,15,5,1.56074193548387,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"188",5851,2020-08-01,17,5,1.56425806451613,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"189",5851,2020-09-01,18,5,1.56406666666667,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"190",5851,2020-10-01,19,5,1.55787096774194,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"191",5851,2020-11-01,19,5,1.52456666666667,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"192",5851,2020-12-01,21,5,1.55341935483871,1288,2125,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"193",5853,2020-02-01,10,1,1.664,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"194",5853,2020-03-01,10,1,1.56651612903226,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"195",5853,2020-01-01,10,1,1.69712903225806,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"196",5853,2020-06-01,13,1,1.53856666666667,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"197",5853,2020-07-01,14,1,1.56074193548387,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"198",5853,2020-04-01,11,1,1.4683,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"199",5853,2020-05-01,13,1,1.48209677419355,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"200",5853,2020-09-01,14,1,1.56406666666667,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"201",5853,2020-10-01,14,1,1.55787096774194,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"202",5853,2020-11-01,14,1,1.52456666666667,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"203",5853,2020-08-01,14,1,1.56425806451613,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"204",5853,2020-12-01,13,1,1.55341935483871,1266,2040,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"205",5854,2020-01-01,27,13,1.69712903225806,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"206",5854,2020-11-01,52,13,1.52456666666667,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"207",5854,2020-12-01,53,14,1.55341935483871,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"208",5854,2020-04-01,31,14,1.4683,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"209",5854,2020-05-01,32,14,1.48209677419355,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"210",5854,2020-02-01,31,14,1.664,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"211",5854,2020-03-01,32,13,1.56651612903226,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"212",5854,2020-08-01,43,13,1.56425806451613,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"213",5854,2020-09-01,45,13,1.56406666666667,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"214",5854,2020-06-01,34,13,1.53856666666667,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"215",5854,2020-07-01,39,14,1.56074193548387,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"216",5854,2020-10-01,50,13,1.55787096774194,3046,5260,"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0"
"217",5855,2020-02-01,14,6,1.664,1538,2480,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
"218",5855,2020-03-01,13,5,1.56651612903226,1538,2480,"0","1","1","1","1","1","0","0","0","0","0","0","0","1","0"
