Postcode-4,Year,Total,Supermarket,Convenience stores,Cafe,Cafeteria,Hotel,Restaurant,Railway station,Amusement park,Cinema,Museums,Art exhibitions,Library,Swimming pool,General practioner,Hospital including clinic
1643,2020,465,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1645,2020,2845,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1646,2020,65,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1647,2020,2575,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1648,2020,3475,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0
1652,2020,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1654,2020,720,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1655,2020,945,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1657,2020,2075,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1658,2020,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1661,2020,445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1662,2020,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1663,2020,110,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1671,2020,8590,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
1674,2020,1955,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1676,2020,1105,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1678,2020,865,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1679,2020,2320,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1681,2020,265,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1682,2020,210,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1683,2020,210,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1684,2020,425,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1685,2020,470,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1686,2020,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1687,2020,6330,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1688,2020,2455,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1689,2020,17345,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1691,2020,675,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1692,2020,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1693,2020,8175,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
1695,2020,4200,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
1696,2020,1505,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1697,2020,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,2020,8895,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0
1702,2020,8600,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
1703,2020,12535,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1
1704,2020,8680,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1705,2020,16845,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1706,2020,2015,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0
1711,2020,1595,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1713,2020,5910,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
1715,2020,4305,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1716,2020,2200,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1718,2020,3975,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1719,2020,480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1721,2020,6135,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
1722,2020,6085,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0
1723,2020,5750,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
1724,2020,3925,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
1731,2020,3400,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
1732,2020,775,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1733,2020,3330,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
1734,2020,400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1735,2020,2165,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1736,2020,395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1738,2020,2665,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1741,2020,12430,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
1742,2020,6530,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
1744,2020,1875,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1746,2020,1640,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1747,2020,3775,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0
