"Gemeenten";"Aantal publieke reguliere laadpunten voor elektrische auto's|Januari 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Februari 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Maart 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|April 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Mei 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juni 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juli 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Augustus 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|September 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Oktober 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|November 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|December 2020"
"Weesp";46;56;56;56;62;62;64;64;62;62;64;64
"West Betuwe";53;57;63;65;62;64;70;69;71;70;72;72
"West Maas en Waal";0;0;0;0;0;0;0;0;0;0;0;0
"Westerkwartier";41;42;42;42;42;44;48;51;51;53;59;61
"Westerveld";4;4;6;6;6;6;6;8;12;14;14;14
"Westervoort";6;6;6;6;6;6;14;14;14;14;16;16
"Westerwolde";11;19;19;19;19;19;19;19;19;21;21;21
"Westland";199;205;176;178;190;192;204;208;229;236;269;265
"Weststellingwerf";11;11;11;11;11;11;11;11;11;11;11;11
"Westvoorne";24;30;30;32;34;34;44;44;44;46;47;44
"Wierden";4;6;6;6;6;6;6;6;8;8;8;8
"Wijchen";56;56;58;64;64;64;66;68;68;72;76;76
"Wijdemeren";46;48;52;52;44;44;46;46;48;50;50;50
"Wijk bij Duurstede";18;20;12;12;12;20;20;20;20;20;20;20
"Winterswijk";4;6;6;12;14;14;14;14;13;13;13;13
"Woensdrecht";12;12;14;14;14;14;14;14;14;14;14;14
"Woerden";97;110;116;120;122;124;132;164;168;170;176;182
"Wormerland";22;22;24;24;28;29;34;40;40;40;42;42
"Woudenberg";14;16;16;16;16;16;18;18;18;20;20;20
