Post.code;Totaal.2021;Koopwoning.2021;Huurwoning.2021;adressen/km2.2021
Code;x1;%;%;adressen/km2
4194;4745;80;20;651
4196;2140;80;20;307
4197;1155;80;20;411
4201;5770;40;60;1978
4202;80;80;-99997;883
4203;160;20;80;1726
4204;5195;20;80;1816
4205;9775;50;50;2031
4206;2900;40;60;1629
4207;10095;70;30;1469
4208;2555;70;30;727
4209;1305;80;20;176
4211;730;70;30;135
4212;125;80;20;151
4213;885;90;10;515
4214;2080;70;30;210
4221;1405;80;20;142
4223;1910;70;30;227
4225;1755;80;20;132
4231;3855;70;30;387
4233;3070;70;30;487
4235;800;80;20;330
4241;3385;60;40;459
4243;1015;70;30;86
4245;1560;70;30;104
4247;835;80;20;120
4251;11215;60;40;933
4254;5865;80;20;622
4255;3655;60;40;389
4261;6590;70;30;579
4264;2980;70;30;346
4265;1725;80;20;200
4266;890;70;30;119
4267;415;90;10;41
4268;715;80;20;89
4269;420;90;10;32
4271;2520;70;30;248
4273;4330;70;30;376
4281;2530;70;30;276
4283;1640;70;30;283
4284;1850;60;40;293
4285;4680;70;30;528
4286;3720;70;30;301
4287;280;90;10;60
4288;340;80;20;69
4301;9250;50;50;1097
4302;1245;70;30;795
4303;1130;80;20;490
4305;575;80;20;98
4306;2715;80;20;313
4307;2305;70;30;283
4308;330;80;20;46
4311;3770;70;30;495
4315;975;70;30;118
4316;750;80;20;108
4317;785;80;20;59
4318;1250;70;30;255
4321;985;80;20;70
4322;1255;70;30;270
4323;350;70;30;99
4325;1500;60;40;271
4326;310;40;60;126
4327;260;80;20;44
4328;4305;70;30;309
4331;6510;50;50;2791
4332;4015;60;40;1668
4333;5345;70;30;1423
4334;3105;70;30;1396
4335;7255;50;50;1753
4336;6985;70;30;1980
4337;8940;50;50;1831
4338;70;80;-99997;429
4339;1375;80;20;245
4341;5365;70;30;545
4351;1625;70;20;173
4352;490;80;20;70
4353;1820;80;20;274
4354;1050;80;20;229
4356;2490;80;20;399
4357;1500;70;30;483
4361;2630;80;20;466
4363;1480;80;20;154
4364;1415;80;20;163
4365;1485;80;20;162
4371;3440;80;20;430
4373;860;80;20;110
4374;1665;80;20;394
4381;7265;40;60;2420
4382;8125;40;60;2510
4383;3170;40;60;2369
4384;5580;70;30;1354
4385;5290;70;30;1741
4386;3715;90;10;1333
4387;520;90;10;1008
4388;10150;70;30;1569
4389;545;90;10;141
4401;7015;70;30;806
4411;3015;70;30;296
4413;4385;70;30;503
4414;1445;90;10;132
4415;610;90;10;65
4416;4755;70;30;483
4417;1675;60;40;293
4421;9295;80;20;760
4423;510;80;20;117
4424;3050;80;20;483
4431;4695;70;30;486
4433;715;80;20;94
4434;950;70;30;116
4435;605;90;10;57
4436;690;90;10;87
4437;375;80;20;63
4438;565;90;10;77
4441;1185;80;20;152
4443;620;90;10;71
4444;510;80;20;67
4451;5515;70;30;572
4453;1980;70;30;257
4454;1440;80;20;159
4455;1235;70;30;144
4456;1740;80;20;186
4458;1650;80;20;169
4461;11250;50;50;2015
4462;6895;50;50;1521
4463;7260;50;50;1194
4464;2530;90;10;742
4465;925;100;0;400
4471;2215;80;20;214
4472;1140;90;10;277
4474;530;80;20;76
4475;825;80;20;159
4481;3375;80;20;1146
4482;25;-99997;-99997;82
4484;1900;70;20;329
4485;460;80;10;63
4486;1595;60;30;304
4491;1175;70;30;188
4493;2100;70;20;206
4494;350;60;40;73
4501;4585;60;40;752
4503;985;70;20;150
4504;390;70;20;253
4505;495;70;20;96
4506;735;50;30;425
4507;1430;80;20;237
4508;520;80;10;34
4511;4580;60;30;655
4513;705;70;20;136
4515;2270;80;20;319
4521;1555;80;20;194
4522;210;90;10;10
4524;2350;60;30;456
4525;290;50;30;178
4527;2385;70;30;303
4528;325;80;10;18
4529;905;80;20;93
4531;2565;40;60;1275
4532;6970;70;30;1685
4533;3885;90;10;662
4535;4630;80;20;1115
4536;3175;40;60;1391
4537;3920;60;40;1518
4538;280;80;20;890
4539;190;100;-99997;38
4541;2265;70;30;342
4542;2940;70;20;332
4543;2760;80;20;221
4551;3790;70;30;508
4553;2090;80;20;284
4554;1920;80;20;224
4561;9880;60;40;857
4562;1110;90;10;399
4564;3180;80;20;515
4565;370;90;10;141
4566;1120;90;10;123
4567;2350;80;20;282
4568;960;80;20;122
4569;940;80;10;84
4571;7885;60;40;841
4574;895;80;20;93
4575;245;100;-99997;21
4576;2515;80;20;199
4581;1865;80;20;180
4583;455;90;10;53
4584;230;90;10;37
4585;710;80;10;54
4586;565;80;20;82
4587;3185;70;30;430
4588;340;90;10;49
4589;310;90;10;37
4611;9280;50;50;2886
4612;235;80;20;747
4613;3815;60;40;1897
4614;7130;70;30;1614
4615;5485;50;50;2492
4616;845;60;40;1898
4617;7475;70;30;1144
4621;4510;40;60;2917
4622;470;70;30;1608
4623;4040;50;50;1707
4624;6570;50;50;2246
4625;3405;60;40;992
4631;9445;70;30;890
4634;1485;70;30;472
4635;2085;80;20;259
4641;5225;80;20;520
4645;3790;70;20;560
4651;12715;70;30;931
4652;510;80;20;1115
4655;750;80;20;42
4661;12330;70;30;963
4664;1925;70;30;235
4671;5685;60;40;689
4675;2675;80;20;269
4681;2265;80;20;263
4691;8180;70;30;745
4693;1715;70;30;185
4694;1845;80;20;253
4695;3440;60;40;493
4696;1710;70;30;231
4697;3785;70;30;544
4698;2735;70;30;336
4701;6485;50;50;2945
4702;13020;50;50;2135
4703;7505;50;50;1945
4704;90;60;40;398
4705;330;90;10;592
4706;11260;70;30;1331
4707;16130;50;50;2031
4708;12220;80;20;1377
4709;1740;80;20;163
4711;9435;60;40;1017
