"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"1692 Hauwert";4;4;5;5;4;4;4;4;4;4;4;4
"1693 Wervershoof";41;42;44;46;46;50;55;56;57;57;58;61
"1695 Blokker";23;24;25;26;27;27;27;29;28;29;32;35
"1696 Oosterblokker";14;14;14;14;14;14;14;14;14;18;18;19
"1697 Schellinkhout";8;8;8;8;9;10;10;10;10;10;10;11
"1701 Middenweg/Raadhuis-/Schildersbrt/'t Kruis";70;72;74;73;73;75;75;79;80;82;83;86
"1702 Schrijvers-/Bomenbrt";31;31;31;34;32;31;30;31;32;35;39;39
"1703 Molen-/Rivieren-/Edelstenenbrt";93;96;102;102;103;108;111;114;117;121;121;129
"1704 De Hoord/Frik/Veenhuizen";77;78;82;82;84;92;101;105;117;125;135;143
"1705 't Kruis";68;69;70;71;70;73;75;83;90;93;102;110
"1706 Oosterweg";11;11;12;12;13;13;16;16;17;19;20;20
"1711 Hensbroek";17;17;17;19;20;21;22;23;23;24;24;25
"1713 Obdam";29;29;32;31;35;38;40;42;44;41;42;47
"1715 Spanbroek";26;29;29;29;30;32;34;34;34;34;34;35
"1716 Opmeer";12;13;14;14;14;15;16;19;19;20;20;20
"1718 Hoogwoud";37;37;37;39;39;41;43;43;43;45;45;46
"1719 Aartswoud";0;0;0;0;0;0;0;0;1;1;1;2
"1721 Broek op Langedijk";58;59;60;63;63;63;66;67;75;77;78;84
"1722 Zuid-Scharwoude";32;35;36;37;38;37;40;46;48;49;52;56
"1723 Noord-Scharwoude";86;105;103;103;115;112;112;109;107;108;110;116
"1724 Oudkarspel";31;32;33;33;36;36;37;40;41;41;42;45
"1731 Winkel";31;31;33;33;34;34;35;39;39;39;41;43
"1732 Lutjewinkel";2;2;2;4;5;5;5;5;7;6;6;6
"1733 Nieuwe-Niedorp";30;30;31;32;32;31;32;33;34;33;33;33
"1734 Oude-Niedorp";1;1;1;1;1;1;1;1;1;1;1;1
"1735 t Veld";3;3;3;3;3;4;5;5;6;6;7;7
"1736 Zijdewind";4;4;4;4;4;4;4;4;4;4;4;4
"1738 Waarland";19;22;23;23;24;25;26;28;32;32;33;34
"1741 Schagen/Nesdijk/Groeneweg";109;112;112;113;113;114;125;128;130;132;132;136
"1742 Waldervaart/Muggenburg";57;56;64;66;65;69;67;70;73;78;79;86
"1744 St Maarten";14;14;14;14;15;17;17;17;17;20;20;23
"1746 Dirkshorn";4;4;4;4;5;7;9;11;13;13;14;15
"1747 Tuitjehorn";27;30;31;31;31;33;36;36;35;35;38;39
"1749 Warmenhuizen";69;71;74;76;76;77;79;81;83;84;88;91
"1751 Schagerbrug";8;8;8;8;8;9;9;10;12;12;12;12
"1752 St Maartensbrug";8;11;11;11;12;12;13;13;13;14;14;14
"1753 St Maartensvlotbrug";3;3;3;3;3;3;3;3;3;4;4;4
"1754 Burgerbrug";3;3;3;3;4;4;5;6;6;6;6;6
"1755 Petten";18;18;18;18;18;20;19;21;21;22;22;23
"1756 't Zand";10;11;12;12;12;13;13;14;14;14;16;20
"1757 Oudesluis";6;6;6;6;6;6;7;8;8;8;8;9
"1759 Callantsoog";16;16;17;17;17;17;19;20;21;22;22;25
"1761 Anna Paulowna";40;41;44;43;43;48;51;54;57;63;70;86
"1764 Breezand";22;22;22;23;24;27;29;31;31;30;33;37
"1766 Wieringerwaard";17;17;17;17;18;18;18;18;19;21;21;23
"1767 Kolhorn";7;7;7;7;7;8;8;9;10;11;11;11
"1768 Barsingerhorn";9;9;8;8;9;9;9;10;10;10;10;10
"1769 Haringhuizen";3;3;3;3;3;3;3;3;3;3;3;3
"1771 Wieringerwerf";33;33;33;32;32;32;33;34;36;36;37;39
"1773 Kreileroord";1;1;1;1;1;1;1;1;1;1;2;2
"1774 Slootdorp";25;24;24;24;24;25;26;27;28;28;28;28
"1775 Middenmeer";34;36;37;36;40;41;42;45;45;49;51;54
"1777 Hyppolytushoef";20;22;22;22;24;25;27;27;26;28;28;28
"1778 Westerland";8;8;8;8;8;8;9;10;10;10;10;12
"1779 Den Oever";16;17;17;18;17;18;21;22;22;24;25;25
"1781 Stad binnen de Linie-oost";44;64;65;47;45;47;49;50;53;55;57;58
"1782 Stad binnen de Linie-west";42;43;41;43;47;52;55;58;62;63;63;65
"1783 Nieuw-W";4;5;5;5;6;6;7;8;8;8;8;8
"1784 Nieuw-O";28;28;28;31;30;24;26;30;34;33;36;39
"1785 De Schooten";48;46;46;48;49;52;54;56;59;63;67;68
"1786 Het Koegras";2;2;4;4;4;4;4;5;5;5;5;5
"1787 Julianadorp (oude Dorp)";14;16;19;20;20;22;21;21;22;25;26;26
"1788 Julianadorp";35;35;35;35;36;39;42;43;49;47;48;51
"1789 Huisduinen";6;6;6;6;7;7;9;9;9;9;10;11
"1791 Den Burg";72;72;73;75;75;79;80;75;75;76;77;79
"1792 Oudeschild";29;29;29;30;30;31;34;33;32;34;34;35
"1793 De Waal";5;5;5;5;5;5;5;5;6;6;6;6
"1794 Oosterend";17;18;18;18;17;17;17;17;18;16;18;18
"1795 De Cocksdorp";52;52;52;52;53;54;58;83;84;85;87;89
"1796 De Koog";15;16;16;17;17;17;19;21;21;21;22;22
"1797 Den Hoorn";20;20;20;20;20;20;20;22;23;26;28;29
"1811 Binnenstad";30;31;34;34;34;36;37;39;39;40;41;47
"1812 Boekelmeer";374;391;418;424;438;457;470;495;525;613;634;820
"1813 Overdie";34;35;36;35;34;34;36;39;39;40;42;42
"1814 Zuid";39;39;40;40;40;42;44;44;47;49;49;50
"1815 Spoorbrt/Zuid";52;52;53;54;54;56;56;56;58;57;55;56
"1816 De Hoef/Bergerwegkw";39;39;41;42;44;44;44;46;48;49;50;51
"1817 Bergerhof/Bergermeer";56;65;58;49;50;62;56;54;61;61;62;65
"1821 Schermereiland/Omval";22;22;22;24;26;28;29;27;28;28;29;30
"1822 Nollen/Beverkoog";113;117;117;115;117;118;129;127;129;141;153;186
"1823 Oudorp";107;112;113;117;121;123;130;132;134;139;142;151
"1824 Huiswaard-Z";25;25;26;28;28;33;34;37;36;36;35;36
"1825 Het Rak/De Mare";26;26;26;27;27;30;31;32;33;36;38;39
"1826 De Horn";27;27;29;30;31;33;34;34;37;38;38;38
"1827 Daalmeer";43;48;49;49;49;47;49;52;57;60;61;62
"1829 Oudorp";23;23;23;23;24;25;26;28;31;32;37;38
"1831 Koedijk/De Weijdt";23;23;24;24;24;25;25;27;27;28;28;28
"1832 Koedijk";4;4;4;4;4;3;3;4;4;4;4;5
"1834 St Pancras";40;41;40;40;39;40;44;44;47;51;52;54
"1841 Stompetoren";15;15;14;14;13;13;13;14;16;17;18;19
"1842 Oterleek";3;3;3;3;3;4;6;6;6;7;8;8
"1843 Grootschermer";7;9;10;10;9;9;10;10;10;10;10;10
"1844 Driehuizen";3;4;4;4;4;4;4;5;5;5;5;5
"1846 Zuidschermer e.o.";6;6;7;8;8;8;8;8;7;7;7;7
"1847 Zuidschermer";5;5;5;5;5;6;6;6;7;7;7;7
"1851 Zuid/Centrum";111;115;115;116;118;123;126;134;139;145;149;158
"1852 West";64;69;70;71;71;72;76;78;84;84;88;93
"1853 Zuiderloo/Zandzoom";2;3;4;4;4;5;5;5;6;6;8;9
"1861 Bergen-Binnen/Het Woud";72;73;76;76;77;80;88;90;90;98;101;107
"1862 Bergen-N/Zanegeest/Tuin- en Oostdorp";65;65;64;63;63;62;62;65;66;70;71;71
"1865 Bergen aan Zee";8;9;9;9;9;9;11;10;10;10;12;12
"1871 Schoorl";59;60;60;60;63;64;66;66;67;67;67;71
"1873 Groet";6;6;6;7;8;8;9;10;10;10;10;10
"1901 Centrum/Bakkum";113;114;116;115;117;119;127;132;136;142;145;149
"1902 Oost";52;50;50;52;54;56;58;60;63;63;64;67
"1906 Limmen";83;86;87;90;93;97;99;99;104;106;110;114
"1911 Uitgeest";94;98;103;105;106;107;110;113;110;112;115;124
"1921 Akersloot";31;32;34;34;35;36;40;44;44;49;51;54
"1931 Egmond aan Zee";18;19;21;20;20;19;19;18;20;21;22;25
"1934 Egmond aan den Hoef";23;23;25;25;26;27;27;27;28;30;31;31
"1935 Egmond-Binnen";14;14;15;15;15;15;15;16;17;18;18;17
"1941 Centrum";25;25;27;26;26;25;27;28;31;32;32;31
"1942 Vondellaan";15;15;16;16;16;17;18;20;20;22;25;24
"1943 Warande";25;25;26;25;25;26;31;35;35;35;38;38
"1944 Kuenenkwartier";24;24;25;25;25;26;29;29;29;32;32;32
"1945 Meerestein";20;23;23;23;22;22;21;24;24;22;23;25
"1946 Oosterwijk/Zwaansmeer";25;25;23;23;21;21;21;21;20;19;19;19
"1947 Oranjebuurt";7;8;8;9;9;11;13;18;18;15;16;16
"1948 De Pijp/Wijkerbroek";70;75;76;77;78;84;88;88;94;97;101;139
"1949 Wijk aan Zee";10;10;12;14;14;15;16;16;17;17;19;21
"1951 Velsen-Noord";35;36;37;38;37;36;38;38;38;43;46;47
"1961 Centrum";9;9;8;8;8;8;8;8;38;39;40;42
"1962 Poelenburg/Oosterzij/Heemskerkerduin";34;35;35;36;37;36;35;36;37;37;39;43
"1963 Noordbroek";27;27;28;30;31;32;34;35;35;35;35;35
"1964 De Waterakkers/Kerkbeek/Dorp";29;36;32;32;32;34;36;37;38;40;43;48
"1965 Meerestein/Westertuinen";30;29;31;32;32;33;35;36;38;39;39;40
"1966 Oosterijk/Zuidbroek";17;18;18;18;18;18;18;20;19;20;20;21
"1967 Hofland/Oosterwijk/Zuidbroek";42;42;44;44;45;48;49;50;48;50;52;55
"1968 Noorddorp";1;1;1;1;1;1;1;1;1;1;1;1
"1969 Heemskerkerduin/Noorddorp";24;24;24;24;25;24;25;26;26;30;31;35
"1971 Tnv Lange Nieuwstraat";31;32;31;33;34;36;37;39;42;43;43;44
"1972 Tzv Lange Nieuwstraat";35;35;34;36;38;38;39;40;40;42;42;44
"1973 Hercules/-Vissers-/Saturnusbrt";28;29;29;31;31;33;31;31;32;33;35;35
"1974 Duin- en Zeewijk";29;29;29;30;30;32;33;34;32;33;35;34
"1975 Oud-IJmuiden";13;13;14;14;13;14;15;17;17;17;18;18
"1976 Zuidzijdebuurt";41;41;41;41;48;49;53;53;54;55;54;60
"1981 Velsen-Zuid";16;17;19;19;19;20;23;24;24;24;24;27
"1985 Driehuis";23;24;24;24;24;26;28;29;31;32;37;42
"1991 Velserbroek";126;130;127;125;125;123;128;131;132;136;139;147
"1992 Buurt 86";7;7;7;7;7;7;8;8;8;9;9;9
"2011 Oude stad";201;206;206;207;209;217;223;241;257;288;303;335
"2012 Haarlemmerhoutkw";141;147;152;152;154;160;166;171;172;177;184;186
"2013 Zijlweg-O/Leidsebrt";44;43;43;45;50;48;48;50;54;54;54;58
"2014 Leidsevaartbrt/Houtvaartkw";53;55;53;54;54;58;60;61;63;66;69;76
"2015 Duinwijk";145;150;151;147;147;152;152;152;152;156;153;151
"2019 Haarlem centrum";"";"";"";"";"";"";1;1;1;1;1;1
"2021 Westoever N-Buitenspaarne";36;36;38;38;40;42;46;49;50;50;51;51
"2022 Indische buurt";31;32;32;31;31;31;31;31;33;33;36;38
"2023 Kleverpark/Bomenbrt";73;75;75;75;77;77;80;82;80;83;85;93
"2024 Planetenwijk/Overdelft";44;45;46;47;48;51;54;57;55;58;61;63
"2025 Oud Schoten/Spaarndam";33;37;38;39;39;42;41;42;44;45;46;49
"2026 Vondelkwartier";21;21;21;21;21;21;22;23;23;25;25;25
"2031 Waarderpolder";143;146;147;149;151;157;156;160;164;169;176;187
"2032 Oude Amsterdamse-/Potgieter/Zeggelenbrt";30;32;34;40;35;36;37;38;44;42;43;43
"2033 Slachthuisbrt/Parkwijk/Zuiderpolder";75;75;79;80;84;86;93;98;100;103;105;105
"2034 Europawijk";38;39;39;38;39;41;43;43;45;46;47;47
"2035 Boerhaavewijk";18;19;20;21;21;21;26;26;26;29;34;35
"2036 Molenwijk";29;30;30;34;34;35;37;37;39;39;41;41
"2037 Meerwijk";13;13;16;15;15;15;16;17;20;21;22;24
"2041 Noord";35;35;38;39;42;42;44;44;45;46;47;52
"2042 Zuid";93;92;93;94;100;106;110;110;114;118;119;123
"2051 Overveen";61;62;61;62;62;63;65;67;70;71;71;73
"2061 Bloemendaal";90;93;95;96;100;100;102;102;108;114;116;121
"2063 Spaarndam-West";12;12;12;12;12;12;12;12;13;14;16;16
"2064 Spaarndam";27;25;26;26;27;30;31;36;38;40;43;45
"2065 Haarlemmerliede";8;9;10;10;10;10;10;10;10;11;11;12
"2071 Santpoort-N";51;54;55;56;58;59;60;61;61;63;65;67
"2082 Santpoort-Z";32;33;34;35;35;35;36;41;41;42;44;44
"2101 Centrum/Kennemerduin/Provinciebrt";67;67;69;70;73;74;74;77;81;83;84;85
"2102 Heemst/Schouwbroekerpolder";66;65;71;73;74;75;80;79;87;89;94;105
"2103 Oude Dorp/Van Merlenbrt";27;28;30;30;31;31;32;32;35;37;37;39
"2104 Zuid";16;15;16;18;18;19;21;23;25;25;29;30
"2105 Rivieren-/Geleerdenbrt";26;27;27;27;28;29;30;32;32;31;32;33
"2106 West vd spoorbaan";22;22;25;28;29;31;31;32;32;34;36;37
"2111 Aerdenhout";75;76;78;81;83;87;88;89;90;93;95;99
"2114 Vogelenzang";15;15;16;17;17;18;18;18;18;18;19;19
"2116 Bentveld";19;19;19;19;19;19;20;20;20;20;20;20
"2121 Bennebroek";35;35;37;38;39;41;43;45;48;54;54;55
"2131 West/Noord/Vrijschot/Pax";96;99;104;106;106;111;111;110;113;116;121;127
"2132 Zuid/Oost/De Hoek/Graan v Visch";4185;4260;4408;4441;4816;4935;5045;5210;5473;5660;5995;7067
"2133 Bornholm";33;37;35;37;41;43;45;44;47;47;49;49
"2134 Overbos";154;161;168;171;175;184;199;218;221;237;242;252
"2135 Toolenburg";89;90;94;94;98;103;105;110;114;119;125;128
"2136 Zwaanshoek";58;40;59;60;63;61;61;61;62;61;61;61
"2141 Vijfhuizen";48;50;51;51;51;54;56;57;63;65;68;70
"2142 Cruquius";54;53;55;53;51;51;53;54;55;55;54;54
"2143 Boesingheliede";1;1;2;2;3;3;3;3;2;2;2;2
"2144 Beinsdorp";9;10;10;10;10;12;13;13;13;13;14;14
"2151 West/Linquenda";86;91;94;94;97;98;104;113;114;120;123;126
"2152 Welgelegen";63;62;64;69;71;73;76;82;86;89;93;96
"2153 Oost/Zuid/'t Kabel";60;61;66;67;70;73;75;75;78;76;77;83
"2154 Burgerveen";5;5;5;5;5;5;5;6;5;4;4;6
"2155 Leimuiderbrug";"";"";"";"";"";"";"";"";"";"";"";""
"2156 Weteringbrug";1;1;1;1;1;1;1;1;1;1;2;2
"2157 Abbenes";6;7;7;7;8;9;9;11;11;11;13;14
"2158 Buitenkaag";4;4;4;4;4;4;4;4;4;4;4;5
"2159 Kaag";14;14;14;14;14;15;15;14;14;14;14;14
"2161 Lisse";112;116;122;126;128;130;140;146;148;151;156;162
"2162 Poelpolder";30;30;33;32;36;44;50;60;64;66;72;75
"2163 Wildlust";10;10;13;13;13;13;15;15;15;15;17;17
"2165 Lisserbroek";33;33;34;35;37;40;41;40;42;44;45;47
"2171 Sassenheim";247;255;258;258;258;263;271;290;296;328;373;1039
"2172 Sassenheim";34;35;36;37;36;37;39;41;41;43;42;42
"2181 Oosteinde/Meer en Dorp";67;69;76;76;75;78;81;82;85;84;88;91
"2182 Hillegom/Arnoud/Elsbroeker polder";118;119;119;120;122;125;132;136;140;146;147;153
"2191 De Zilk";22;22;22;22;22;22;24;27;28;27;28;28
"2201 Binnen";143;149;155;153;156;157;161;166;173;177;181;191
"2202 Noordwijk Aan Zee";94;98;97;100;105;107;110;110;112;115;119;122
"2203 Boerenburg/Grashoek";30;32;30;32;34;37;37;37;40;41;41;41
"2204 Sancta Maria/Langeveld";15;16;16;18;18;18;19;20;20;21;21;24
"2211 Noordwijkerhout";130;134;136;138;138;140;144;149;150;157;166;172
"2212 Noordwijkhout";7;8;8;8;7;7;7;7;7;8;9;10
"2215 Voorhout";105;110;112;112;109;112;116;120;123;127;132;134
"2216 Voorhout";3;3;4;4;4;4;4;4;4;4;5;7
"2221 Noord";45;45;47;46;45;47;49;51;54;60;61;63
"2222 t Heen";31;32;32;32;32;33;33;33;33;32;34;50
"2223 Katwijk Aan Den Rijn";51;53;54;55;56;56;54;54;54;54;57;59
"2224 Katwijk Midden";61;61;63;63;63;64;67;69;68;69;72;74
"2225 Katwijk Aan Zee";80;82;84;85;84;87;89;92;94;98;99;103
"2231 Rijnsburg";124;126;135;136;138;140;144;148;158;165;173;190
"2232 Rijnsburg";3;3;3;3;3;3;4;5;5;5;5;4
"2235 Valkenburg";38;40;41;41;42;42;46;52;56;60;60;63
"2241 Weteringpark/Haven/Maaldrift";65;70;73;75;77;80;82;82;84;89;90;100
"2242 Dorp/De Paauw/De Deijl";100;102;104;108;108;111;118;119;123;128;136;142
"2243 Drie Papegaaien/De Kieviet";62;64;68;68;71;71;74;75;75;77;79;81
"2244 Nieuw-Wassenaar/Duindigt";38;38;40;41;41;42;44;45;48;49;51;52
"2245 Oud-Clingendaal/Kerkehout";23;23;23;23;24;25;25;28;31;34;35;39
"2251 Centrum/Vlietwijk/Bijdorp";67;68;71;72;73;75;75;77;81;85;87;91
"2252 Nassauwijk/Boschgeest";27;29;30;30;30;31;33;34;34;36;38;40
"2253 Leidseweg/Adegeest/Noord-Hofland";28;29;29;29;30;30;31;30;30;30;32;34
"2254 Dobbewijk";12;11;11;11;11;11;11;11;11;12;12;12
"2261 De Zijde/Duivenvoorde";36;36;38;36;36;37;39;40;41;46;48;48
"2262 Heuvel";10;11;12;12;12;13;13;13;14;15;17;18
"2263 Prinsenhof";12;13;13;12;13;14;15;17;17;17;18;17
"2264 Voorburgseweg/'t Lien/Raadhuiskw";63;65;65;69;69;82;80;82;83;85;87;108
"2265 Damlaan/Rietvinkpolder";32;31;35;33;33;33;33;34;37;41;41;42
"2266 Zuid/Stompwijk/Wilsveen";49;50;51;53;54;55;63;67;68;73;79;80
"2267 Leeuwenbergh";12;12;12;12;12;12;12;12;13;13;15;16
"2271 Centrum/Oost";72;74;74;76;80;84;88;89;91;95;96;98
"2272 Damsigtkw/Essesteyn";52;57;58;61;63;61;62;66;66;67;69;68
"2273 Noord Nieuw/'t Loo";40;40;40;41;40;41;40;42;45;46;46;48
"2274 Noord Oud";30;32;33;33;33;35;39;39;41;44;48;50
"2275 West/Linquenda";42;42;45;45;46;46;47;48;48;47;47;51
"2281 Cromvliet/Leeuwendaal";26;26;27;27;28;30;30;30;30;34;35;36
"2282 Oud-Rw/Bomenbrt/Welgelegen/Rembr-/Havenkw";48;51;54;56;56;57;57;63;65;66;67;71
"2283 Julianapark/Huis te Lande/Stationskw/Te Werve";29;29;29;29;29;30;32;31;31;31;34;33
"2284 Spoorzicht/Kleuren-/Artiestenbrt";15;15;17;18;18;18;18;20;21;21;20;20
"2285 Steenvoorde-Noord";28;30;32;34;34;37;38;38;41;43;42;43
"2286 Steenvoorde-Zuid";52;56;57;56;57;60;61;63;65;68;73;77
"2287 Muziekbuurt";9;9;9;9;10;10;10;10;10;10;10;12
"2288 Plaspoelpolder/Elsenb/Pasgeld/Haantje";85;86;88;90;92;94;94;95;110;112;115;130
"2289 Hoornw/Broekp/Kraayenb/Vrijenban";741;721;743;742;752;749;758;788;804;811;841;971
"2291 Wateringen";91;93;98;100;101;104;111;117;120;124;136;142
"2292 Wateringen";31;31;32;33;33;34;37;40;41;43;44;46
"2295 Kwintsheul";33;36;36;37;37;38;40;41;42;42;43;48
"2311 Binnenstad-Z/Bos-/Gasthuisdistrict";55;57;59;59;59;61;60;65;68;69;72;73
"2312 Binnenstad-N/Morsdistrict";62;63;64;66;68;66;65;65;69;74;79;80
"2313 Roodenburgerdistrict";89;93;95;95;94;98;103;104;108;106;108;111
"2314 Meerburg/Waardeiland/Roomburg";46;47;50;50;53;53;55;55;58;60;62;64
"2315 Kooidistrict";50;51;53;56;56;58;59;67;68;68;70;70
"2316 Station/Groenoord/Noorderkw";52;53;54;54;57;60;61;62;62;65;67;69
"2317 Merenwijkdistrict";37;37;38;40;45;47;48;53;57;60;63;67
"2318 Leedewijk-N";15;16;18;18;18;18;18;20;20;20;20;21
"2321 Haagweg/Gastuiswijk/Cronestein";48;49;49;52;53;53;58;61;63;67;70;72
"2322 Klein Cronestein";"";"";1;1;1;1;1;1;1;1;1;1
"2323 Oostvliet";3;3;3;3;3;4;4;4;4;4;4;4
"2324 Fortuinwijk/Boshuizen";20;21;24;24;25;25;26;28;31;32;32;37
"2331 Stevenshofdistrict";50;54;55;58;60;64;67;71;70;74;74;76
"2332 Hoge en Lage Mors";57;61;57;57;57;59;63;69;72;75;72;74
"2333 Boerhaavedistrict";47;47;47;48;48;48;48;49;50;50;46;44
"2334 Houtkw/Poelgeest";21;20;20;20;20;20;20;21;22;23;25;27
"2341 Oude Bebouwde Kom/NO/Indische brt";93;96;95;99;97;103;102;105;111;115;117;121
"2342 Gestichten";24;24;25;27;25;26;27;27;27;26;27;31
"2343 Noord/Haaswijk";71;72;75;74;76;80;81;85;92;98;99;104
"2351 Kerkwijk/Oranjewijk/Doeskw";47;49;52;52;54;56;57;60;64;66;68;70
"2352 Ouderzorg/Zijlkw/Vogelwijk/Baanderij/Scha";130;132;135;136;135;140;145;147;155;159;163;174
"2353 Buiten-/Winkel-/Binnen-/Voor-/Elizabethho";73;74;75;75;77;82;85;92;96;102;106;111
"2355 Hoogmade";15;15;15;16;16;16;17;17;17;18;18;18
"2361 Warmond";38;38;38;38;38;38;40;42;41;45;44;44
"2362 Landelijk gebied";7;6;6;6;7;7;7;7;7;7;7;8
"2371 Roelofarendsveen";95;97;99;102;104;107;113;116;116;120;130;135
"2374 Oude Ade";14;14;14;14;14;15;15;15;15;16;17;17
"2375 Rijpwetering";19;18;19;19;19;20;21;23;24;23;24;25
"2376 Nieuwe Wetering";9;9;9;10;10;11;12;12;13;13;14;14
"2377 Oude Wetering";25;24;26;27;29;29;30;31;32;33;34;36
"2381 Zoeterwoude";31;32;35;35;34;34;34;38;41;42;43;46
"2382 Hoge Rijndijk";28;29;29;29;34;35;36;36;38;40;40;41
"2391 Hazerswoude-Dorp";78;79;80;81;91;93;96;98;101;105;109;118
"2394 Hazerswoude-De Rijndijk";38;41;41;41;41;42;43;44;45;46;46;51
"2396 Koudekerk aan den Rijn";20;20;22;24;24;24;25;27;29;30;31;34
"2401 Noordwest";76;74;73;74;74;75;80;86;89;91;95;100
"2402 Noord";62;66;67;68;69;72;77;80;84;90;93;95
"2403 Noordoost";41;43;43;46;44;49;48;50;53;53;54;56
"2404 Centrum-W";60;61;61;62;61;62;70;73;75;78;81;87
"2405 Centrum-M";61;63;67;70;72;73;72;75;71;71;72;76
"2406 Centrum-O";64;63;65;66;68;69;72;76;84;87;92;95
"2407 Kortsteekter-/Steekterweg";17;17;17;17;17;17;16;17;17;17;17;20
"2408 Kerk en Zanen";177;182;181;183;190;193;212;221;229;246;245;264
"2409 Rietveld";"";"";"";"";"";"";"";"";"";1;1;1
"2411 Bodegraven";338;342;344;346;343;343;346;336;446;504;619;638
"2412 Bodegraven";8;8;7;8;8;8;9;9;10;10;10;11
"2415 Nieuwerbrug";11;12;12;14;14;14;15;15;15;17;17;18
"2421 Nieuwkoop";90;92;94;96;100;106;109;117;119;118;125;154
"2431 Noorden";13;13;13;13;13;14;15;15;15;17;17;18
"2432 Noordsebuurt";2;2;2;2;2;2;2;2;2;2;2;2
"2435 Zevenhoven";33;33;33;31;32;31;31;32;33;35;37;38
"2441 Nieuwveen";30;30;33;34;30;31;33;33;34;34;36;39
"2445 Aarlanderveen";17;18;18;18;18;20;20;18;18;18;18;18
"2451 Leimuiden";27;28;32;32;33;34;38;40;41;44;45;47
"2461 Ter Aar";89;89;93;95;95;92;101;105;108;111;114;119
"2465 Rijnsaterwoude";19;20;20;20;21;22;22;23;22;22;22;24
"2471 Zwammerdam";12;13;14;14;14;14;13;14;15;15;16;17
"2481 Woubrugge";17;19;19;19;20;22;22;23;25;28;29;29
"2491 Leidschenveen";114;120;126;117;119;118;129;203;211;228;278;429
"2492 Leidschenveen";87;82;82;81;84;85;87;94;98;103;104;110
"2493 Leidschenveen";38;39;43;43;44;45;51;54;59;60;62;65
"2495 Ypenburg";19;19;20;19;20;20;19;21;24;26;27;26
"2496 Ypenburg";73;74;79;82;87;89;93;96;100;107;110;119
"2497 Ypenburg";76;75;80;82;83;82;85;94;99;104;111;122
"2498 Ypenburg";54;55;56;55;56;58;62;63;66;69;72;72
"2511 Uilebomen";45;54;148;150;163;169;170;173;176;180;184;188
"2512 Zuidwal";41;43;42;44;46;49;51;51;54;55;58;59
"2513 Kortenbos";31;34;36;36;37;39;44;48;52;55;56;60
"2514 Centrum/Willemspark";158;159;162;165;167;167;168;168;182;215;277;279
"2515 Stationsbuurt";240;241;243;293;307;314;329;369;429;467;502;543
"2516 Binckhorst/Noordpolderbrt";1066;1092;1139;1150;1168;1179;1203;1228;1260;1323;1387;1579
"2517 Zorgvliet/Duinoord/Regentessekw";96;99;101;100;104;106;114;119;125;132;134;141
"2518 Zeeheldenkw";48;49;51;51;53;55;60;60;63;67;71;76
"2521 Laakkw/Spoorwijk";67;69;73;77;79;85;93;102;110;123;128;149
"2522 Laakkwartier-O";22;26;26;26;25;28;29;32;33;35;35;35
"2523 Laakkwartier-W";12;12;11;13;13;13;14;14;14;14;15;18
"2524 Spoorwijk";11;11;11;12;12;12;12;13;16;18;21;22
"2525 Schildersbrt-W/Groente- en Fruitmarkt";20;19;18;20;19;22;24;26;26;29;30;33
"2526 Schildersbrt-N/-O";22;22;22;22;21;24;24;25;25;24;23;23
"2531 Moerwijk";15;15;15;15;19;21;22;22;23;23;24;26
"2532 Moerwijk-Z";6;6;7;7;6;6;7;7;7;7;7;8
"2533 Zuiderpark/Moerwijk-W/Morgenstond";11;11;11;11;12;13;14;14;14;14;15;19
"2541 Morgenstond-Z";6;6;6;5;6;9;8;8;9;9;11;12
"2542 Dreven/Gaarden";14;14;15;15;15;14;15;18;21;21;22;22
"2543 Zijden/Steden/Zichten";11;12;12;13;14;14;16;18;18;19;20;20
"2544 Loosduinen/Bouwlust/Vrederust";69;69;72;73;73;76;77;78;80;85;97;104
"2545 Morgenstond-W";26;26;27;30;34;39;41;46;48;51;52;54
"2546 Leyenburg";18;20;20;20;21;24;23;24;26;31;35;35
"2547 Leyenburg";20;19;21;21;23;25;26;26;28;34;37;39
"2548 Watertuin";118;118;123;122;122;130;139;157;169;179;188;196
"2551 Waldeck";22;25;26;27;28;32;32;34;35;37;37;39
"2552 Loosduinen";47;48;51;52;56;59;66;70;76;76;78;82
"2553 Kijkduin/Ockenburg/Kraayenstein";87;90;91;91;96;98;103;110;110;115;124;139
"2554 Kijkduin";20;21;22;22;23;24;25;28;28;29;29;30
